precio,expensas,metros,ambientes,banos,barrio,comuna
530000.0,770000,172.0,4.0,3.0,PALERMO,14
170000.0,0,73.0,4.0,1.0,VILLA CRESPO,15
120000.0,260000,54.0,3.0,1.0,RECOLETA,2
220000.0,380073,68.0,3.0,2.0,NUÑEZ,13
84100.0,110000,55.0,1.0,1.0,VILLA LURO,10
218000.0,0,157.0,5.0,1.0,LINIERS,9
105000.0,288320,57.0,3.0,1.0,ALMAGRO,5
173251.0,0,52.0,1.0,1.0,BELGRANO,13
107000.0,180000,40.0,1.0,1.0,CHACARITA,15
160000.0,215000,76.0,3.0,2.0,VILLA DEL PARQUE,11
175000.0,400000,100.0,3.0,1.0,CABALLITO,6
189600.0,277000,72.0,4.0,1.0,RECOLETA,2
267624.0,0,60.0,2.0,1.0,BELGRANO,13
520923.0,0,140.0,1.0,3.0,PALERMO,14
135000.0,60000,59.0,2.0,1.0,COLEGIALES,13
85000.0,0,78.0,1.0,1.0,MONTE CASTRO,10
145000.0,180000,60.0,3.0,1.0,RECOLETA,2
178000.0,200000,96.0,4.0,1.0,BELGRANO,13
540000.0,965786,129.0,4.0,2.0,PUERTO MADERO,1
225000.0,0,112.0,4.0,2.0,VILLA DEL PARQUE,11
205000.0,300000,66.0,3.0,2.0,BELGRANO,13
155000.0,350000,68.0,3.0,2.0,BELGRANO,13
250000.0,240000,39.0,2.0,1.0,PALERMO,14
138000.0,250000,44.0,2.0,1.0,BELGRANO,13
83000.0,136000,53.0,3.0,1.0,FLORES,7
992185.0,1,160.0,4.0,3.0,NUÑEZ,13
106000.0,0,66.0,2.0,1.0,BOCA,4
560000.0,646000,201.0,5.0,4.0,RETIRO,1
138000.0,120000,48.0,2.0,1.0,BELGRANO,13
390000.0,0,203.0,4.0,1.0,BELGRANO,13
430000.0,390000,148.0,3.0,2.0,PALERMO,14
235562.0,0,83.0,3.0,2.0,BELGRANO,13
122000.0,91000,42.0,2.0,1.0,VILLA URQUIZA,12
132729.0,180000,51.0,2.0,2.0,PARQUE PATRICIOS,4
148000.0,0,41.0,1.0,1.0,VILLA ORTUZAR,15
330000.0,308000,76.0,3.0,2.0,RECOLETA,2
168100.0,150,46.0,1.0,1.0,PALERMO,14
1050000.0,691000,195.0,4.0,2.0,NUÑEZ,13
320000.0,358000,114.0,4.0,3.0,RECOLETA,2
300000.0,660000,105.0,3.0,2.0,VILLA CRESPO,15
79000.0,137000,45.0,2.0,1.0,SAN CRISTOBAL,3
1375000.0,0,350.0,5.0,3.0,BELGRANO,13
365000.0,0,189.0,4.0,2.0,BARRACAS,4
99999.0,0,40.0,2.0,1.0,VILLA LURO,10
198000.0,250000,177.0,3.0,1.0,ALMAGRO,5
199000.0,520000,50.0,2.0,2.0,PALERMO,14
125900.0,0,105.0,5.0,1.0,PARQUE CHACABUCO,7
163800.0,150000,61.0,2.0,1.0,ALMAGRO,5
395000.0,197000,133.0,1.0,1.0,PALERMO,14
289000.0,459000,147.0,4.0,2.0,RETIRO,1
520000.0,900000,163.0,5.0,3.0,PALERMO,14
179000.0,344235,82.0,4.0,1.0,CABALLITO,6
450000.0,895000,271.0,5.0,3.0,FLORES,7
117000.0,153000,86.0,4.0,1.0,SAN NICOLAS,1
66500.0,190000,32.0,1.0,1.0,ALMAGRO,5
520000.0,670000,217.0,7.0,2.0,RECOLETA,2
195000.0,0,50.0,2.0,1.0,PALERMO,14
65000.0,111930,35.0,1.0,1.0,SAN NICOLAS,1
118000.0,150000,42.0,2.0,1.0,PALERMO,14
560000.0,607690,209.0,4.0,2.0,RECOLETA,2
385000.0,462000,50.0,2.0,1.0,PUERTO MADERO,1
405000.0,0,111.0,3.0,1.0,NUÑEZ,13
168000.0,132000,76.0,4.0,1.0,NUÑEZ,13
430000.0,0,303.0,4.0,4.0,CABALLITO,6
80000.0,140000,35.0,1.0,1.0,NUÑEZ,13
123000.0,215000,63.0,2.0,1.0,VILLA GRAL. MITRE,11
990000.0,0,358.0,1.0,3.0,SAN TELMO,1
362000.0,7,129.0,4.0,3.0,VILLA CRESPO,15
129000.0,90588,71.0,2.0,1.0,SAN NICOLAS,1
239000.0,0,112.0,4.0,1.0,RECOLETA,2
141700.0,0,47.0,2.0,1.0,BELGRANO,13
996224.0,0,156.0,3.0,2.0,PALERMO,14
155000.0,173000,62.0,3.0,1.0,BOEDO,5
95000.0,281700,46.0,2.0,1.0,COLEGIALES,13
106341.0,0,32.0,1.0,1.0,BELGRANO,13
100330.0,0,45.0,2.0,1.0,VILLA DEL PARQUE,11
185000.0,0,66.0,2.0,1.0,BALVANERA,3
199000.0,0,291.0,6.0,2.0,VILLA LURO,10
76000.0,130000,34.0,1.0,1.0,VILLA CRESPO,15
180000.0,0,56.0,2.0,2.0,PALERMO,14
247000.0,190000,76.0,3.0,2.0,NUÑEZ,13
270000.0,0,233.0,4.0,2.0,VILLA CRESPO,15
126900.0,190000,69.0,3.0,1.0,BOEDO,5
260000.0,84000,74.0,4.0,2.0,PALERMO,14
168510.0,0,60.0,3.0,1.0,CABALLITO,6
840000.0,830000,128.0,3.0,2.0,PUERTO MADERO,1
615000.0,495000,160.0,4.0,2.0,BELGRANO,13
670000.0,1200000,161.0,4.0,2.0,PALERMO,14
560000.0,993000,175.0,5.0,3.0,RECOLETA,2
99000.0,180000,36.0,1.0,1.0,RECOLETA,2
475000.0,490000,137.0,4.0,3.0,COLEGIALES,13
535000.0,0,111.0,3.0,2.0,RECOLETA,2
74900.0,120000,39.0,1.0,1.0,CABALLITO,6
149000.0,0,56.0,2.0,1.0,CABALLITO,6
649000.0,1350000,215.0,5.0,4.0,PALERMO,14
138000.0,180000,69.0,2.0,1.0,PALERMO,14
800000.0,0,180.0,1.0,2.0,FLORES,7
91000.0,1,32.0,1.0,1.0,VILLA DEL PARQUE,11
690000.0,1100000,178.0,4.0,3.0,RECOLETA,2
90800.0,0,31.0,1.0,1.0,RECOLETA,2
135000.0,300000,44.0,1.0,1.0,PALERMO,14
169000.0,0,88.0,4.0,1.0,VILLA DEVOTO,11
85000.0,0,25.0,1.0,1.0,PALERMO,14
230000.0,290000,77.0,3.0,2.0,BELGRANO,13
179000.0,428817,66.0,1.0,1.0,RETIRO,1
209900.0,0,59.0,2.0,1.0,PALERMO,14
395000.0,322000,145.0,4.0,3.0,BELGRANO,13
300000.0,0,300.0,4.0,2.0,MATADEROS,9
59900.0,250000,66.0,3.0,1.0,MONSERRAT,1
119900.0,85000,43.0,1.0,1.0,VILLA PUEYRREDON,12
148000.0,229691,71.0,3.0,1.0,SAAVEDRA,12
497100.0,0,125.0,4.0,2.0,CABALLITO,6
105000.0,90000,45.0,3.0,1.0,CABALLITO,6
630000.0,0,168.0,3.0,1.0,PALERMO,14
120412.0,0,36.0,1.0,1.0,COLEGIALES,13
550000.0,1100000,124.0,4.0,3.0,PALERMO,14
269000.0,270000,90.0,3.0,1.0,BELGRANO,13
580000.0,1000000,118.0,3.0,2.0,BELGRANO,13
475000.0,700000,228.0,7.0,3.0,RECOLETA,2
902300.0,0,218.0,4.0,4.0,CABALLITO,6
375000.0,750000,117.0,4.0,2.0,BELGRANO,13
180000.0,360000,82.0,3.0,1.0,CABALLITO,6
190000.0,0,85.0,3.0,2.0,MATADEROS,9
226255.0,150000,61.0,2.0,1.0,BELGRANO,13
375000.0,769509,199.0,4.0,2.0,PALERMO,14
98000.0,180000,71.0,3.0,1.0,FLORES,7
140000.0,241775,84.0,3.0,1.0,SAN NICOLAS,1
128135.0,0,52.0,2.0,1.0,VILLA CRESPO,15
226922.0,0,72.0,1.0,1.0,NUÑEZ,13
250000.0,9000,100.0,2.0,1.0,PALERMO,14
299000.0,300000,72.0,3.0,2.0,BELGRANO,13
155000.0,0,69.0,3.0,1.0,VILLA URQUIZA,12
127714.0,0,50.0,2.0,1.0,ALMAGRO,5
545000.0,870000,204.0,5.0,3.0,RECOLETA,2
330000.0,0,74.0,3.0,1.0,PALERMO,14
1450000.0,1300000,300.0,4.0,2.0,BELGRANO,13
195000.0,180000,70.0,4.0,1.0,VILLA URQUIZA,12
335000.0,1033000,154.0,3.0,1.0,RECOLETA,2
320000.0,460000,102.0,4.0,2.0,PALERMO,14
195000.0,0,60.0,2.0,1.0,BELGRANO,13
169000.0,0,76.0,2.0,1.0,PALERMO,14
358000.0,485000,84.0,3.0,2.0,PUERTO MADERO,1
415000.0,820000,128.0,4.0,2.0,PALERMO,14
279000.0,0,83.0,3.0,2.0,BELGRANO,13
550000.0,0,131.0,4.0,2.0,NUÑEZ,13
152000.0,110000,86.0,4.0,2.0,RECOLETA,2
699000.0,0,92.0,3.0,2.0,BELGRANO,13
76000.0,118000,39.0,2.0,1.0,RETIRO,1
130000.0,1,47.0,2.0,1.0,CABALLITO,6
546000.0,0,140.0,4.0,2.0,BELGRANO,13
120000.0,150000,30.0,1.0,1.0,PALERMO,14
160000.0,210000,112.0,4.0,3.0,FLORES,7
149000.0,0,43.0,1.0,1.0,COLEGIALES,13
330000.0,650000,210.0,10.0,3.0,RECOLETA,2
350000.0,121000,147.0,4.0,3.0,PALERMO,14
85600.0,0,32.0,1.0,1.0,VILLA DEVOTO,11
125000.0,955500,44.0,2.0,1.0,VILLA URQUIZA,12
68000.0,100000,34.0,1.0,1.0,MONSERRAT,1
114000.0,80000,40.0,2.0,1.0,PALERMO,14
750000.0,700000,126.0,3.0,2.0,PUERTO MADERO,1
82000.0,88000,32.0,1.0,1.0,CABALLITO,6
60000.0,70000,25.0,2.0,1.0,CABALLITO,6
180000.0,481068,54.0,3.0,1.0,BELGRANO,13
285000.0,250000,193.0,3.0,1.0,RECOLETA,2
335000.0,0,64.0,2.0,2.0,PALERMO,14
124500.0,75000,47.0,1.0,1.0,PALERMO,14
66875.0,1,25.0,1.0,1.0,PALERMO,14
339000.0,460000,118.0,4.0,2.0,PALERMO,14
104040.0,0,37.0,1.0,1.0,COGHLAN,12
99000.0,150000,40.0,2.0,1.0,PARQUE CHAS,15
1549000.0,800000,243.0,4.0,3.0,BELGRANO,13
420000.0,500000,87.0,3.0,2.0,PUERTO MADERO,1
126000.0,250000,47.0,2.0,1.0,BOEDO,5
399000.0,360000,154.0,4.0,3.0,VILLA URQUIZA,12
135000.0,0,110.0,3.0,2.0,PARQUE PATRICIOS,4
750000.0,96000,116.0,3.0,1.0,PUERTO MADERO,1
175000.0,250000,41.0,2.0,1.0,PALERMO,14
195000.0,155000,87.0,4.0,2.0,BELGRANO,13
149500.0,270048,91.0,3.0,1.0,RECOLETA,2
210000.0,200000,74.0,3.0,1.0,RECOLETA,2
452000.0,0,136.0,3.0,2.0,CABALLITO,6
109000.0,170000,46.0,2.0,1.0,PALERMO,14
740000.0,1,166.0,4.0,3.0,BELGRANO,13
128000.0,0,53.0,2.0,1.0,RECOLETA,2
196560.0,0,77.0,2.0,1.0,BELGRANO,13
129000.0,400000,48.0,2.0,1.0,RECOLETA,2
495000.0,815000,253.0,3.0,2.0,RECOLETA,2
420000.0,465000,117.0,4.0,3.0,PALERMO,14
1232000.0,0,149.0,3.0,2.0,PUERTO MADERO,1
120000.0,240000,39.0,1.0,1.0,RECOLETA,2
119500.0,200000,55.0,2.0,1.0,PALERMO,14
160000.0,0,54.0,2.0,1.0,CABALLITO,6
172200.0,0,57.0,2.0,1.0,CABALLITO,6
218000.0,0,100.0,4.0,2.0,LINIERS,9
55000.0,107250,39.0,1.0,1.0,FLORESTA,10
77000.0,0,35.0,1.0,1.0,LINIERS,9
900000.0,980000,150.0,4.0,2.0,PALERMO,14
123000.0,0,46.0,2.0,1.0,CABALLITO,6
450000.0,0,130.0,4.0,2.0,VILLA URQUIZA,12
76000.0,205000,31.0,1.0,1.0,PARQUE PATRICIOS,4
94894.0,0,42.0,1.0,1.0,SAAVEDRA,12
122000.0,210000,78.0,4.0,2.0,ALMAGRO,5
759625.0,0,160.0,4.0,2.0,NUÑEZ,13
278000.0,269000,73.0,3.0,2.0,COLEGIALES,13
230000.0,0,79.0,3.0,2.0,CABALLITO,6
950000.0,0,136.0,3.0,2.0,NUÑEZ,13
250000.0,0,160.0,5.0,2.0,SAAVEDRA,12
88500.0,0,39.0,1.0,1.0,MONSERRAT,1
582300.0,0,101.0,3.0,2.0,PALERMO,14
118000.0,128000,58.0,3.0,1.0,FLORES,7
430000.0,0,72.0,2.0,1.0,PUERTO MADERO,1
115000.0,82000,62.0,3.0,1.0,CONSTITUCION,1
238680.0,189964,63.0,2.0,1.0,RECOLETA,2
203500.0,0,80.0,3.0,2.0,VILLA CRESPO,15
119000.0,0,64.0,1.0,1.0,RETIRO,1
120000.0,165000,65.0,3.0,1.0,ALMAGRO,5
77000.0,100000,39.0,2.0,1.0,BELGRANO,13
159000.0,165000,108.0,4.0,1.0,VILLA DEL PARQUE,11
129000.0,197000,99.0,3.0,2.0,CONSTITUCION,1
288000.0,0,90.0,3.0,1.0,VILLA LURO,10
121000.0,73400,36.0,2.0,1.0,PALERMO,14
138000.0,150000,68.0,3.0,1.0,ALMAGRO,5
94900.0,250000,67.0,3.0,1.0,COLEGIALES,13
145000.0,320000,102.0,4.0,1.0,CABALLITO,6
86451.0,0,37.0,1.0,1.0,NUÑEZ,13
158000.0,120000,74.0,3.0,1.0,NUÑEZ,13
285000.0,300000,91.0,4.0,2.0,NUÑEZ,13
790000.0,950000,291.0,5.0,4.0,RECOLETA,2
136000.0,215000,44.0,2.0,1.0,PALERMO,14
355000.0,600000,141.0,4.0,1.0,RECOLETA,2
85000.0,0,69.0,4.0,1.0,BALVANERA,3
198000.0,234000,90.0,3.0,2.0,PALERMO,14
