precio,expensas,metros,ambientes,banos,direccion,barrio
USD 530.000,$ 770.000 Expensas,172 m² tot.,4 amb.,3 baños,Soldado De La Independencia 1200,"Las Cañitas, Palermo"
USD 170.000,,73 m² tot.,4 amb.,1 baño,Malabia  al 200,"Villa Crespo, Capital Federal"
USD 120.000,$ 260.000 Expensas,54 m² tot.,3 amb.,1 baño,Paraguay e/ Jean Jaures y Doctor Tomás Manuel de Anchorena,"Recoleta, Capital Federal"
USD 220.000,$ 380.073 Expensas,68 m² tot.,3 amb.,2 baños,PICO 1600. Entre Libertador y 11 De Septiembre,"Núñez, Capital Federal"
USD 2.250.000,$ 2.100.000 Expensas,399 m² tot.,4 amb.,3 baños,Av. Alvear 1500,"Recoleta, Capital Federal"
USD 84.100,$ 110.000 Expensas,55 m² tot.,1 amb.,1 baño,Av. Rivadavia al 9800,"Villa Luro, Capital Federal"
USD 550.000,$ 1 Expensas,723 m² tot.,,6 baños,peru al 100,"Centro / Microcentro, Capital Federal"
USD 218.000,,157 m² tot.,5 amb.,1 baño,Martiniano Leguizamón  al 200,"Liniers, Capital Federal"
USD 105.000,$ 288.320 Expensas,57 m² tot.,3 amb.,1 baño,Muñiz 500,"Almagro, Capital Federal"
USD 173.251,,52 m² tot.,1 amb.,1 baño,Weik Plaza - Esquina Juramento y Vuelta de Obligado - Venta Pozo Financiación Emprendimiento,"Belgrano, Capital Federal"
USD 107.000,$ 180.000 Expensas,40 m² tot.,1 amb.,1 baño,Avenida Álvarez Thomas 900,"Chacarita, Capital Federal"
USD 160.000,$ 215.000 Expensas,76 m² tot.,3 amb.,2 baños,Nazarre e/ Bolivia y Avenida San Martin,"Villa del Parque, Capital Federal"
USD 175.000,$ 400.000 Expensas,100 m² tot.,3 amb.,1 baño,México 4200,"Caballito Sur, Caballito"
USD 189.600,$ 277.000 Expensas,72 m² tot.,4 amb.,1 baño,Azcuenaga al 1400,"Recoleta, Capital Federal"
USD 267.624,,60 m² tot.,2 amb.,1 baño,Belgrano,"Belgrano, Capital Federal"
USD 520.923,,140 m² tot.,1 amb.,3 baños,Bulnes al 1200,"Palermo, Capital Federal"
USD 135.000,$ 60.000 Expensas,59 m² tot.,2 amb.,1 baño,Olleros al 3200,"Colegiales, Capital Federal"
USD 85.000,,78 m² tot.,1 amb.,1 baño,Wagner al 1100,"Monte Castro, Capital Federal"
USD 145.000,$ 180.000 Expensas,60 m² tot.,3 amb.,1 baño,Azcuénaga al 700,"Recoleta, Capital Federal"
USD 1.900.000,,1210 m² tot.,,,San Juan 2461,"San Cristobal, Capital Federal"
Consultar precio,,123 m² tot.,4 amb.,2 baños,Aguero al 2300,"Recoleta, Capital Federal"
USD 178.000,$ 200.000 Expensas,96 m² tot.,4 amb.,1 baño,Amenábar al 1655,"Belgrano, Capital Federal"
USD 540.000,$ 965.786 Expensas,129 m² tot.,4 amb.,2 baños,Juana Manso al 1100,"Puerto Madero, Capital Federal"
USD 225.000,,112 m² tot.,4 amb.,2 baños,Argerich 3600,"Villa del Parque, Capital Federal"
USD 205.000,$ 300.000 Expensas,66 m² tot.,3 amb.,2 baños,Freire 2500,"Belgrano, Capital Federal"
USD 155.000,$ 350.000 Expensas,68 m² tot.,3 amb.,2 baños,Av. Olazábal al 3200,"Belgrano, Capital Federal"
USD 250.000,$ 240.000 Expensas,39 m² tot.,2 amb.,1 baño,Amenabar 80,"Palermo Hollywood, Palermo"
USD 138.000,$ 250.000 Expensas,44 m² tot.,2 amb.,1 baño,Av Congreso  al 2300,"Belgrano, Capital Federal"
USD 83.000,$ 136.000 Expensas,53 m² tot.,3 amb.,1 baño,Avellaneda 2807,"Flores, Capital Federal"
USD 992.185,$ 1 Expensas,160 m² tot.,4 amb.,3 baños,Av. Libertador  al 7400,"Núñez, Capital Federal"
USD 106.000,,66 m² tot.,2 amb.,1 baño,Gaboto al 450,"La Boca, Capital Federal"
USD 560.000,$ 646.000 Expensas,201 m² tot.,5 amb.,4 baños,Juncal al 900,"Retiro, Capital Federal"
USD 138.000,$ 120.000 Expensas,48 m² tot.,2 amb.,1 baño,Mariscal Antonio José De Sucre e/ Avenida del Libertador y Migueletes,"Belgrano, Capital Federal"
USD 390.000,,203 m² tot.,4 amb.,1 baño,Av. Forest al 1600,"Belgrano R, Belgrano"
USD 430.000,$ 390.000 Expensas,148 m² tot.,3 amb.,2 baños,Federico Lacroze al 2000,"Palermo, Capital Federal"
USD 800.000,,393 m² tot.,,,Gaona 1600,"Caballito, Capital Federal"
USD 235.562,,83 m² tot.,3 amb.,2 baños,Virrey Aviles al 2700,"Belgrano, Capital Federal"
USD 122.000,$ 91.000 Expensas,42 m² tot.,2 amb.,1 baño,Av Congreso 5100,"Villa Urquiza, Capital Federal"
USD 132.729,$ 180.000 Expensas,51 m² tot.,2 amb.,2 baños,Av. Jujuy al 1900,"Parque Patricios, Capital Federal"
USD 148.000,,41 m² tot.,1 amb.,1 baño,Av. Alvarez Thomas  al 2000,"Villa Ortuzar, Capital Federal"
USD 330.000,$ 308.000 Expensas,76 m² tot.,3 amb.,2 baños,Agote al 2300,"Recoleta, Capital Federal"
USD 168.100,$ 150 Expensas,46 m² tot.,1 amb.,1 baño,"Capital Federal, Argentina","Palermo Viejo, Palermo"
USD 1.050.000,$ 691.000 Expensas,195 m² tot.,4 amb.,2 baños,Av. del Libertafdor  al 7400,"Núñez, Capital Federal"
USD 320.000,$ 358.000 Expensas,114 m² tot.,4 amb.,3 baños,Arenales  al 3000,"Recoleta, Capital Federal"
USD 300.000,$ 660.000 Expensas,105 m² tot.,3 amb.,2 baños,Gurruchaga al 1100,"Villa Crespo, Capital Federal"
USD 79.000,$ 137.000 Expensas,45 m² tot.,2 amb.,1 baño,Estados Unidos  al 2100,"San Cristobal, Capital Federal"
USD 1.375.000,,350 m² tot.,5 amb.,3 baños,O´Higgins 1300,"Belgrano, Capital Federal"
USD 365.000,,189 m² tot.,4 amb.,2 baños,Av. Montes de Oca 800,"Barracas, Capital Federal"
USD 99.999,,40 m² tot.,2 amb.,1 baño,Moliere  al 800,"Villa Luro, Capital Federal"
USD 198.000,$ 250.000 Expensas,177 m² tot.,3 amb.,1 baño,Sarmiento al 4400,"Almagro, Capital Federal"
USD 199.000,$ 520.000 Expensas,50 m² tot.,2 amb.,2 baños,Godoy Cruz 2900,"Palermo, Capital Federal"
USD 125.900,,105 m² tot.,5 amb.,1 baño,Emilio Mitre 1200,"Parque Chacabuco, Capital Federal"
USD 163.800,$ 150.000 Expensas,61 m² tot.,2 amb.,1 baño,"Excelente Departamento en Venta - Duplex de 2 Ambientes con Balcón - Almagro, Capital Federal","Almagro, Capital Federal"
USD 395.000,$ 197.000 Expensas,133 m² tot.,1 amb.,1 baño,Thames  al 2200,"Palermo Soho, Palermo"
USD 750.000,,1103 m² tot.,,,Pirovano 100,"Parque Patricios, Capital Federal"
USD 289.000,$ 459.000 Expensas,147 m² tot.,4 amb.,2 baños,Avenida Santa Fe 800,"Retiro, Capital Federal"
USD 520.000,$ 900.000 Expensas,163 m² tot.,5 amb.,3 baños,Cabildo 66,"Palermo, Capital Federal"
USD 179.000,$ 344.235 Expensas,82 m² tot.,4 amb.,1 baño,"Yerbal al 500, Entre Hidalgo y Parral","Caballito, Capital Federal"
USD 450.000,$ 895.000 Expensas,271 m² tot.,5 amb.,3 baños,Lautaro al 100,"Flores, Capital Federal"
USD 1.950.000,,456 m² tot.,,,Cordoba Av. al 4400,"Palermo, Capital Federal"
USD 117.000,$ 153.000 Expensas,86 m² tot.,4 amb.,1 baño,Esmeralda al 600,"Centro / Microcentro, Capital Federal"
USD 66.500,$ 190.000 Expensas,32 m² tot.,1 amb.,1 baño,Colombres al 500,"Almagro, Capital Federal"
USD 520.000,$ 670.000 Expensas,217 m² tot.,7 amb.,2 baños,Ayacucho  al 1700 Venta Departamento 7 Ambientes 207m2 Recoleta Luminoso Cochera,"Recoleta, Capital Federal"
USD 195.000,,50 m² tot.,2 amb.,1 baño,Jorge Luis Borges al 2100,"Palermo, Capital Federal"
USD 65.000,$ 111.930 Expensas,35 m² tot.,1 amb.,1 baño,Corrientes Av. al 1600,"San Nicolás, Capital Federal"
USD 118.000,$ 150.000 Expensas,42 m² tot.,2 amb.,1 baño,Güemes 3600,"Palermo, Capital Federal"
USD 65.000,$ 100.000 Expensas,24 m² tot.,1 amb.,1 baño,del Signo al 4000,"Palermo, Capital Federal"
USD 560.000,$ 607.690 Expensas,209 m² tot.,4 amb.,2 baños,"Coronel Diaz av. al 1800, Entre Güemes y Santa Fe","Barrio Norte, Capital Federal"
USD 385.000,$ 462.000 Expensas,50 m² tot.,2 amb.,1 baño,Av. Ing. Huergo al 400,"Puerto Madero, Capital Federal"
USD 405.000,,111 m² tot.,3 amb.,1 baño,Tamborini  al 800,"Núñez, Capital Federal"
USD 640.000,,645 m² tot.,,,Billinghurst 800,"Almagro, Capital Federal"
